task,run,training_seed,n_mazes,success_rate,maze_seed_base,source_file
interior_goal_development,par_none_s42,42,50,0.14,,par_none_s42/eval_holdout13.json
interior_goal_development,par_none_s43,43,50,0.2,,par_none_s43/eval_holdout13.json
interior_goal_development,par_none_s44,44,50,0.3,,par_none_s44/eval_holdout13.json
interior_goal_development,par_none_s45,45,50,0.16,,par_none_s45/eval_holdout13.json
interior_goal_development,par_none_s46,46,50,0.16,,par_none_s46/eval_holdout13.json
interior_goal_development,aux_pastpose_s42,42,50,0.42,,aux_pastpose_s42/eval_holdout13.json
interior_goal_development,aux_pastpose_s43,43,50,0.4,,aux_pastpose_s43/eval_holdout13.json
interior_goal_development,aux_pastpose_s44,44,50,0.44,,aux_pastpose_s44/eval_holdout13.json
interior_goal_development,aux_pastpose_s45,45,50,0.4,,aux_pastpose_s45/eval_holdout13.json
interior_goal_development,aux_pastpose_s46,46,50,0.38,,aux_pastpose_s46/eval_holdout13.json
exit_goal_confirmation,nmh_persist_s42,42,200,0.485,910000,nmh_persist_s42/eval_confirm910k.json
exit_goal_confirmation,nmh_persist_s43,43,200,0.39,910000,nmh_persist_s43/eval_confirm910k.json
exit_goal_confirmation,nmh_persist_s44,44,200,0.425,910000,nmh_persist_s44/eval_confirm910k.json
exit_goal_confirmation,nmh_reset_s42,42,200,0.065,910000,nmh_reset_s42/eval_confirm910k.json
exit_goal_confirmation,nmh_reset_s43,43,200,0.07,910000,nmh_reset_s43/eval_confirm910k.json
exit_goal_confirmation,nmh_reset_s44,44,200,0.05,910000,nmh_reset_s44/eval_confirm910k.json
exit_goal_confirmation,v8_base_exit_s42,42,200,0.5,910000,v8_base_exit_s42/eval_confirm910k.json
exit_goal_confirmation,v8_base_exit_s43,43,200,0.49,910000,v8_base_exit_s43/eval_confirm910k.json
exit_goal_confirmation,v8_base_exit_s44,44,200,0.535,910000,v8_base_exit_s44/eval_confirm910k.json
exit_goal_confirmation,exit_pp_u_s42,42,200,0.455,910000,exit_pp_u_s42/eval_confirm910k.json
exit_goal_confirmation,exit_pp_u_s43,43,200,0.47,910000,exit_pp_u_s43/eval_confirm910k.json
exit_goal_confirmation,exit_pp_u_s44,44,200,0.46,910000,exit_pp_u_s44/eval_confirm910k.json
